"","zipcode","air","noise","hazadous","rat"
"1","11436","0","1","10","28"
"2","11213","0","5","3","2275"
"3","11212","12","42","16","783"
"4","11225","9","7","13","1387"
"5","11218","49","22","57","237"
"6","11226","27","6","57","1704"
"7","11219","8","15","15","150"
"8","11210","27","1","40","213"
"9","11230","40","15","21","126"
"10","11204","0","2","4","57"
"11","10471","4","1","1","175"
"12","10470","31","39","39","87"
"13","10466","66","83","127","170"
"14","10467","44","70","88","5198"
"15","10463","1","2","7","1798"
"16","10475",NA,NA,NA,"51"
"17","10464","0","0","2","4"
"18","10469","28","24","31","420"
"19","10468","13","23","23","6676"
"20","10463","1","2","7","1798"
"21","10458","49","70","81","10107"
"22","10034","23","73","74","2045"
"23","10033",NA,NA,NA,"2608"
"24","10462","11","3","15","1146"
"25","10040","0","1","1","1745"
"26","10453","87","102","105","6445"
"27","10465",NA,NA,NA,"49"
"28","10464","0","0","2","4"
"29","10464","0","0","2","4"
"30","10461","28","14","31","116"
"31","10457","29","12","43","11294"
"32","10460","58","72","58","3730"
"33","10032","1","1","2","3096"
"34","10452","120","133","133","5363"
"35","10456","3","3","48","8189"
"36","10472","3","3","3","3341"
"37","10031","9","5","30","3579"
"38","10039","3","1","5","560"
"39","10459","3","14","6","3011"
"40","10451","76","274","154","2359"
"41","10473","1","1","1","314"
"42","10030","0","4","5","1683"
"43","10027","81","93","159","3452"
"44","10474","3","3","19","1071"
"45","10455","6","15","12","2036"
"46","10037","3","5","5","615"
"47","10024",NA,NA,NA,"3309"
"48","10454","13","45","58","1113"
"49","10026","2","0","7","2502"
"50","10035","67","138","164","1891"
"51","10048",NA,NA,NA,NA
"52","10025","32","3","2","4013"
"53","11357","1","2","5","87"
"54","10029","44","112","123","3877"
"55","00083",NA,NA,NA,NA
"56","11356","0","15","11","19"
"57","11359",NA,NA,NA,NA
"58","11360",NA,NA,NA,"6"
"59","11105","10","1","44","65"
"60","10128","0","5","3","2178"
"61","10023","2","3","7","1340"
"62","11363","4","4","4","2"
"63","10028",NA,NA,NA,"1449"
"64","11354","14","43","24","216"
"65","11102","20","12","36","105"
"66","11370","0","0","1","86"
"67","10021","3","4","5","612"
"68","11358","2","0","2","21"
"69","11362",NA,NA,NA,"2"
"70","10044",NA,NA,NA,"15"
"71","11369","5","17","26","69"
"72","11103","7","6","8","500"
"73","11106","25","17","70","331"
"74","11368","116","120","131","872"
"75","11377","42","67","62","1098"
"76","11355","18","23","27","243"
"77","11101","140","87","415","858"
"78","11364","5","6","6","9"
"79","10018","75","172","122","276"
"80","10020",NA,NA,NA,"1"
"81","11005",NA,NA,NA,NA
"82","10017","57","58","56","145"
"83","10001","64","154","127","695"
"84","10011","34","67","70","1608"
"85","10016","20","28","19","731"
"86","11104","19","17","14","249"
"87","11109",NA,NA,NA,"3"
"88","10010","9","17","11","365"
"89","11367","0","0","1","42"
"90","10014","20","22","31","1680"
"91","10003","102","46","10","2717"
"92","11222","17","132","235","1276"
"93","10002","25","137","3","4579"
"94","11378","1","0","3","127"
"95","10009","102","91","7","4100"
"96","10012","6","7","11","1332"
"97","10013","75","108","145","1786"
"98","10007","0","2","1","328"
"99","11237","4","12","6","7578"
"100","11385","12","1","21","2507"
"101","10038",NA,NA,NA,"753"
"102","11206","150","132","141","6194"
"103","10006",NA,NA,NA,"105"
"104","11412","17","0","41","46"
"105","10005",NA,NA,NA,"46"
"106","11251",NA,NA,NA,NA
"107","10004",NA,NA,NA,"103"
"108","11411",NA,NA,NA,"16"
"109","11201","19","148","112","1459"
"110","10004",NA,NA,NA,"103"
"111","11205","41","81","103","3038"
"112","11208","90","149","178","392"
"113","11207","133","202","209","1434"
"114","10004",NA,NA,NA,"103"
"115","10004",NA,NA,NA,"103"
"116","11413","21","20","29","12"
"117","11217","9","41","35","3038"
"118","11238","25","89","98","3822"
"119","11231","20","52","26","352"
"120","11422",NA,NA,NA,"11"
"121","11420","5","5","5","157"
"122","11417","20","45","42","88"
"123","11215","10","9","45","1767"
"124","11231","20","52","26","352"
"125","11232","12","1","19","283"
"126","11430",NA,NA,NA,NA
"127","11203","1","1","1","527"
"128","11239",NA,NA,NA,"4"
"129","11236","18","0","53","143"
"130","11220","0","3","18","266"
"131","10301","56","34","44","472"
"132","10303","9","2","8","224"
"133","11234","0","42","46","109"
"134","10302","0","0","87","258"
"135","11693","2","34","2","3"
"136","11209","8","6","15","48"
"137","10304","24","61","65","265"
"138","10314","14","0","13","267"
"139","11228","4","6","6","19"
"140","11096",NA,NA,NA,NA
"141","10305","2","2","4","171"
"142","11229","29","1","12","34"
"143","11214","0","0","3","185"
"144","11691","36","49","52","76"
"145","11096",NA,NA,NA,NA
"146","11223","8","11","17","90"
"147","11693","2","34","2","3"
"148","11692","3","0","6","18"
"149","11235","2","0","4","552"
"150","11693","2","34","2","3"
"151","10306","0","2","3","210"
"152","11694","24","95","10","7"
"153","11224","23","47","89","172"
"154","10308","4","0","4","40"
"155","11697",NA,NA,NA,NA
"156","10312","1","0","1","126"
"157","10309","2","0","9","41"
"158","10307",NA,NA,NA,"28"
"159","10280",NA,NA,NA,"26"
"160","11372","1","3","3","1636"
"161","11004","6","16","15","3"
"162","11040",NA,NA,NA,NA
"163","11426","2","6","6","19"
"164","11365","0","1","1","16"
"165","11001","1","5","5","10"
"166","11375","26","31","32","156"
"167","11427","1","1","1","14"
"168","11374","2","4","1","186"
"169","11366","0","0","9","4"
"170","11423","0","31","26","62"
"171","11428",NA,NA,NA,"11"
"172","11432","71","182","89","651"
"173","11379","5","5","7","78"
"174","11429","1","0","1","35"
"175","11435","97","201","219","637"
"176","11415","0","1","3","48"
"177","11418","8","25","45","146"
"178","11433","14","160","130","286"
"179","11451",NA,NA,NA,NA
"180","11221","53","75","50","8145"
"181","11421","22","34","53","59"
"182","11419","9","39","49","95"
"183","11434","11","13","43","71"
"184","11216","5","90","85","6826"
"185","11416","12","25","26","27"
"186","11233","29","271","111","2182"
"187","10055",NA,NA,NA,NA
"188","10019","15","17","38","1086"
"189","10111",NA,NA,NA,NA
"190","10153",NA,NA,NA,NA
"191","10154",NA,NA,NA,NA
"192","10152",NA,NA,NA,NA
"193","10115",NA,NA,NA,"2"
"194","10022","35","32","35","523"
"195","11370","0","0","1","86"
"196","10065","1","7","6","481"
"197","10075",NA,NA,NA,"449"
"198","10069","1","2","2","7"
"199","10281",NA,NA,NA,"2"
"200","10282",NA,NA,NA,"8"
"201","11211","14","154","314","2952"
"202","11373","6","10","13","668"
"203","10279",NA,NA,NA,NA
"204","10165",NA,NA,NA,NA
"205","10168",NA,NA,NA,"1"
"206","10105",NA,NA,NA,NA
"207","10118",NA,NA,NA,NA
"208","10176",NA,NA,NA,NA
"209","10170",NA,NA,NA,NA
"210","10112",NA,NA,NA,NA
"211","10122",NA,NA,NA,NA
"212","10107",NA,NA,NA,NA
"213","10103","0","0","1",NA
"214","10174",NA,NA,NA,NA
"215","10166",NA,NA,NA,NA
"216","10169",NA,NA,NA,NA
"217","10167",NA,NA,NA,NA
"218","10177","1","1","1",NA
"219","10172",NA,NA,NA,NA
"220","10171",NA,NA,NA,NA
"221","10270",NA,NA,NA,NA
"222","10104",NA,NA,NA,NA
"223","10271",NA,NA,NA,NA
"224","10110",NA,NA,NA,NA
"225","10175",NA,NA,NA,NA
"226","10151",NA,NA,NA,NA
"227","10173","1","1","1",NA
"228","10178",NA,NA,NA,NA
"229","10121","0","1","1",NA
"230","10123",NA,NA,NA,NA
"231","10106",NA,NA,NA,"1"
"232","10158",NA,NA,NA,NA
"233","10041",NA,NA,NA,NA
"234","10120",NA,NA,NA,NA
"235","10278",NA,NA,NA,"4"
"236","10155",NA,NA,NA,NA
"237","10043",NA,NA,NA,NA
"238","10081",NA,NA,NA,NA
"239","10096",NA,NA,NA,NA
"240","10097",NA,NA,NA,NA
"241","10196",NA,NA,NA,NA
"242","10196",NA,NA,NA,NA
"243","10275",NA,NA,NA,NA
"244","10265",NA,NA,NA,NA
"245","10045",NA,NA,NA,NA
"246","10047",NA,NA,NA,NA
"247","10047",NA,NA,NA,NA
"248","10080",NA,NA,NA,NA
"249","10203",NA,NA,NA,NA
"250","10259",NA,NA,NA,NA
"251","10260",NA,NA,NA,NA
"252","10285",NA,NA,NA,NA
"253","10286",NA,NA,NA,NA
"254","10035","67","138","164","1891"
"255","11371",NA,NA,NA,NA
"256","11361","0","0","6","81"
"257","10036","32","58","52","1010"
"258","11414","0","0","5","23"
"259","10310","2","0","2","198"
"260","11693","2","34","2","3"
"261","11249","17","113","162","778"
"262","10162",NA,NA,NA,"17"
"263","10119",NA,NA,NA,"4"
